Name_EN,code,pci
An Giang,VN-89,63.65
Ba Ria - Vung Tau,VN-77,64.02
Bac Giang,VN-24,63.01
Bac Kan,VN-6,60.11
Bac Lieu,VN-95,62.53
Bac Ninh,VN-27,64.5
Ben Tre,VN-83,67.67
Binh Dinh,VN-52,64.04
Binh Duong,VN-74,66.09
Binh Phuoc,VN-70,60.02
Binh Thuan,VN-60,64
Ca Mau,VN-96,61.73
Can Tho,VN-92,64.98
Cao Bang,VN-4,60.67
Da Nang,VN-48,67.65
Dak Lak,VN-66,62.48
Dak Nong,VN-67,58.16
Dien Bien,VN-11,61.77
Dong Nai,VN-75,63.84
Dong Thap,VN-87,70.19
Gia Lai,VN-64,63.08
Ha Giang,VN-2,61.19
Ha Nam,VN-35,62.77
Ha Noi,VN-1,65.4
Ha Tinh,VN-42,63.99
Hai Duong,VN-30,60.98
Hai Phong,VN-31,64.48
Hau Giang,VN-93,61.87
Hoa Binh,VN-17,61.73
Hung Yen,VN-33,60.66
Khanh Hoa,VN-56,64.42
Kien Giang,VN-91,63.42
Kon Tum,VN-62,60.63
Lai Chau,VN-12,58.33
Lam Dong,VN-68,63.79
Lang Son,VN-20,61.7
Lao Cai,VN-10,64.63
Long An,VN-80,68.09
Nam Dinh,VN-36,63.01
Nghe An,VN-40,64.08
Ninh Binh,VN-37,63.55
Ninh Thuan,VN-58,62.21
Phu Tho,VN-25,63.95
Phu Yen,VN-54,61.69
Quang Binh,VN-44,61.06
Quang Nam,VN-49,65.85
Quang Ngai,VN-51,62.4
Quang Ninh,VN-22,70.36
Quang Tri,VN-45,61.16
Soc Trang,VN-94,61.82
Son La,VN-14,60.79
TP. Ho Chi Minh,VN-79,65.34
Thua Thien - Hue,VN-46,63.51
Tay Ninh,VN-72,64.54
Thai Binh,VN-34,63.23
Thai Nguyen,VN-19,64.24
Thanh Hoa,VN-38,63.94
Tien Giang,VN-82,62.75
Tra Vinh,VN-84,61.79
Tuyen Quang,VN-8,63.01
Vinh Long,VN-86,65.53
Vinh Phuc,VN-26,64.55
Yen Bai,VN-15,62.22
