year_month,person,screen_time_seconds
2015-02,ainsley earhardt,6413
2015-03,ainsley earhardt,6911
2015-04,ainsley earhardt,6744
2015-05,ainsley earhardt,5820
2015-06,ainsley earhardt,5731
2015-07,ainsley earhardt,5899
2015-08,ainsley earhardt,5277
2015-09,ainsley earhardt,5786
2015-10,ainsley earhardt,4362
2015-11,ainsley earhardt,323
2015-12,ainsley earhardt,327
2016-01,ainsley earhardt,192
2016-02,ainsley earhardt,829
2016-03,ainsley earhardt,9170
2016-04,ainsley earhardt,5618
2016-05,ainsley earhardt,8995
2016-06,ainsley earhardt,8109
2016-07,ainsley earhardt,4775
2016-08,ainsley earhardt,7924
2016-09,ainsley earhardt,7240
2016-10,ainsley earhardt,8840
2016-11,ainsley earhardt,8950
2016-12,ainsley earhardt,6907
2017-01,ainsley earhardt,10001
2017-02,ainsley earhardt,7555
2017-03,ainsley earhardt,11181
2017-04,ainsley earhardt,9107
2017-05,ainsley earhardt,9352
2017-06,ainsley earhardt,8494
2017-07,ainsley earhardt,6975
2017-08,ainsley earhardt,5673
2017-09,ainsley earhardt,5221
2017-10,ainsley earhardt,9472
2017-11,ainsley earhardt,8458
2017-12,ainsley earhardt,13171
2018-01,ainsley earhardt,12267
2018-02,ainsley earhardt,6565
2018-03,ainsley earhardt,14084
2018-04,ainsley earhardt,16168
2018-05,ainsley earhardt,15837
2018-06,ainsley earhardt,13082
2018-07,ainsley earhardt,14827
2018-08,ainsley earhardt,16268
2018-09,ainsley earhardt,9142
2018-10,ainsley earhardt,15212
2018-11,ainsley earhardt,11786
2018-12,ainsley earhardt,10452
2019-01,ainsley earhardt,19843
2019-02,ainsley earhardt,17960
2019-03,ainsley earhardt,13001
2019-04,ainsley earhardt,17709
2019-05,ainsley earhardt,22621
2019-06,ainsley earhardt,14768
2019-07,ainsley earhardt,18827
2019-08,ainsley earhardt,16938
2019-09,ainsley earhardt,11542
2019-10,ainsley earhardt,18184
2019-11,ainsley earhardt,12845
2019-12,ainsley earhardt,11680
2020-01,ainsley earhardt,16270
2020-02,ainsley earhardt,5586
2020-03,ainsley earhardt,25137
2020-04,ainsley earhardt,43857
2020-05,ainsley earhardt,42930
2020-06,ainsley earhardt,39475
2020-07,ainsley earhardt,21490
2010-01,al sharpton,4638
2010-02,al sharpton,2069
2010-03,al sharpton,3421
2010-04,al sharpton,8349
2010-05,al sharpton,1845
2010-06,al sharpton,216
2010-07,al sharpton,8077
2010-08,al sharpton,13096
2010-09,al sharpton,942
2010-10,al sharpton,3570
2010-11,al sharpton,2402
2010-12,al sharpton,2690
2011-01,al sharpton,5451
2011-02,al sharpton,877
2011-03,al sharpton,1436
2011-04,al sharpton,4630
2011-05,al sharpton,242
2011-06,al sharpton,6696
2011-07,al sharpton,16402
2011-08,al sharpton,21719
2011-09,al sharpton,19418
2011-10,al sharpton,17430
2011-11,al sharpton,16540
2011-12,al sharpton,18338
2012-01,al sharpton,21883
2012-02,al sharpton,16939
2012-03,al sharpton,28610
2012-04,al sharpton,16969
2012-05,al sharpton,13294
2012-06,al sharpton,13976
2012-07,al sharpton,13324
2012-08,al sharpton,15833
2012-09,al sharpton,14530
2012-10,al sharpton,16555
2012-11,al sharpton,11661
2012-12,al sharpton,10738
2013-01,al sharpton,15300
2013-02,al sharpton,14425
