year_month,person,screen_time_seconds
2018-02,chris christie,240
2018-03,chris christie,268
2018-04,chris christie,720
2018-05,chris christie,264
2018-06,chris christie,174
2018-07,chris christie,117
2018-08,chris christie,219
2018-09,chris christie,207
2018-10,chris christie,196
2018-11,chris christie,444
2018-12,chris christie,957
2019-01,chris christie,13758
2019-02,chris christie,8236
2019-03,chris christie,4260
2019-04,chris christie,1104
2019-05,chris christie,1600
2019-06,chris christie,292
2019-07,chris christie,134
2019-08,chris christie,87
2019-09,chris christie,939
2019-10,chris christie,53
2019-11,chris christie,5
2019-12,chris christie,977
2020-01,chris christie,88
2020-02,chris christie,29
2020-03,chris christie,26
2020-04,chris christie,53
2020-05,chris christie,1874
2020-06,chris christie,686
2020-07,chris christie,95
2010-01,chris cuomo,3
2010-02,chris cuomo,22
2010-03,chris cuomo,3
2010-04,chris cuomo,6
2010-05,chris cuomo,0
2010-06,chris cuomo,459
2010-07,chris cuomo,0
2010-08,chris cuomo,51
2010-09,chris cuomo,3
2010-10,chris cuomo,24
2010-11,chris cuomo,6
2010-12,chris cuomo,0
2011-01,chris cuomo,45
2011-02,chris cuomo,0
2011-03,chris cuomo,0
2011-04,chris cuomo,3
2011-05,chris cuomo,9
2011-06,chris cuomo,375
2011-07,chris cuomo,0
2011-08,chris cuomo,21
2011-09,chris cuomo,0
2011-10,chris cuomo,6
2011-11,chris cuomo,0
2011-12,chris cuomo,30
2012-01,chris cuomo,0
2012-02,chris cuomo,33
2012-03,chris cuomo,42
2012-04,chris cuomo,9
2012-05,chris cuomo,3
2012-06,chris cuomo,393
2012-07,chris cuomo,3
2012-08,chris cuomo,0
2012-09,chris cuomo,6
2012-10,chris cuomo,18
2012-11,chris cuomo,0
2012-12,chris cuomo,3
2013-01,chris cuomo,6
2013-02,chris cuomo,5376
2013-03,chris cuomo,1711
2013-04,chris cuomo,8059
2013-05,chris cuomo,5437
2013-06,chris cuomo,9468
2013-07,chris cuomo,24442
2013-08,chris cuomo,18695
2013-09,chris cuomo,14801
2013-10,chris cuomo,13328
2013-11,chris cuomo,11809
2013-12,chris cuomo,12705
2014-01,chris cuomo,16062
2014-02,chris cuomo,15272
2014-03,chris cuomo,9438
2014-04,chris cuomo,10426
2014-05,chris cuomo,11404
2014-06,chris cuomo,13664
2014-07,chris cuomo,9400
2014-08,chris cuomo,7492
2014-09,chris cuomo,10650
2014-10,chris cuomo,14700
2014-11,chris cuomo,17917
2014-12,chris cuomo,13903
2015-01,chris cuomo,13130
2015-02,chris cuomo,10613
2015-03,chris cuomo,10102
2015-04,chris cuomo,10520
2015-05,chris cuomo,10890
2015-06,chris cuomo,10792
2015-07,chris cuomo,10044
2015-08,chris cuomo,19632
2015-09,chris cuomo,14822
2015-10,chris cuomo,11359
2015-11,chris cuomo,16898
2015-12,chris cuomo,18112
2016-01,chris cuomo,11263
2016-02,chris cuomo,17084
2016-03,chris cuomo,13470
2016-04,chris cuomo,13596
2016-05,chris cuomo,12340
2016-06,chris cuomo,11142
2016-07,chris cuomo,16216
2016-08,chris cuomo,8858
2016-09,chris cuomo,12124
2016-10,chris cuomo,15625
2016-11,chris cuomo,17247
2016-12,chris cuomo,13653
2017-01,chris cuomo,17540
2017-02,chris cuomo,20203
2017-03,chris cuomo,23004
2017-04,chris cuomo,15385
2017-05,chris cuomo,19583
2017-06,chris cuomo,45298
2017-07,chris cuomo,38558
2017-08,chris cuomo,57698
2017-09,chris cuomo,18876
2017-10,chris cuomo,32739
2017-11,chris cuomo,40060
2017-12,chris cuomo,22298
2018-01,chris cuomo,97991
2018-02,chris cuomo,34482
2018-03,chris cuomo,39579
2018-04,chris cuomo,31058
2018-05,chris cuomo,26649
2018-06,chris cuomo,90862
2018-07,chris cuomo,68755
2018-08,chris cuomo,90430
2018-09,chris cuomo,87372
2018-10,chris cuomo,94592
2018-11,chris cuomo,98301
2018-12,chris cuomo,81914
2019-01,chris cuomo,96409
2019-02,chris cuomo,87552
2019-03,chris cuomo,94943
2019-04,chris cuomo,104872
2019-05,chris cuomo,92294
2019-06,chris cuomo,80143
2019-07,chris cuomo,58287
2019-08,chris cuomo,57376
2019-09,chris cuomo,79829
2019-10,chris cuomo,77223
2019-11,chris cuomo,54587
2019-12,chris cuomo,68455
2020-01,chris cuomo,77402
2020-02,chris cuomo,46515
2020-03,chris cuomo,95407
2020-04,chris cuomo,96629
2020-05,chris cuomo,93232
2020-06,chris cuomo,97516
2020-07,chris cuomo,112124
2010-01,chris hayes,4086
2010-02,chris hayes,6051
2010-03,chris hayes,7398
2010-04,chris hayes,6888
2010-05,chris hayes,3499
2010-06,chris hayes,7440
2010-07,chris hayes,18539
2010-08,chris hayes,5200
2010-09,chris hayes,5532
2010-10,chris hayes,5290
2010-11,chris hayes,9414
2010-12,chris hayes,11560
2011-01,chris hayes,8810
2011-02,chris hayes,5288
2011-03,chris hayes,3276
2011-04,chris hayes,8363
2011-05,chris hayes,4304
2011-06,chris hayes,5563
2011-07,chris hayes,7671
2011-08,chris hayes,15209
2011-09,chris hayes,11011
2011-10,chris hayes,17259
2011-11,chris hayes,12666
2011-12,chris hayes,15512
2012-01,chris hayes,19178
2012-02,chris hayes,17230
2012-03,chris hayes,15221
2012-04,chris hayes,19188
2012-05,chris hayes,17476
2012-06,chris hayes,15993
2012-07,chris hayes,10564
2012-08,chris hayes,12337
2012-09,chris hayes,15596
2012-10,chris hayes,15937
2012-11,chris hayes,14205
2012-12,chris hayes,14768
2013-01,chris hayes,11362
2013-02,chris hayes,16640
2013-03,chris hayes,20583
2013-04,chris hayes,44598
2013-05,chris hayes,41845
2013-06,chris hayes,46129
2013-07,chris hayes,38940
2013-08,chris hayes,32573
2013-09,chris hayes,35360
2013-10,chris hayes,43142
2013-11,chris hayes,34228
2013-12,chris hayes,31956
2014-01,chris hayes,42231
2014-02,chris hayes,33174
2014-03,chris hayes,33003
2014-04,chris hayes,27043
2014-05,chris hayes,37794
2014-06,chris hayes,39310
2014-07,chris hayes,32485
2014-08,chris hayes,30241
2014-09,chris hayes,36554
2014-10,chris hayes,40163
2014-11,chris hayes,32197
2014-12,chris hayes,23594
2015-01,chris hayes,30195
2015-02,chris hayes,30706
2015-03,chris hayes,34709
2015-04,chris hayes,28253
2015-05,chris hayes,29871
2015-06,chris hayes,35063
2015-07,chris hayes,31862
2015-08,chris hayes,27535
2015-09,chris hayes,30798
2015-10,chris hayes,44144
2015-11,chris hayes,45918
2015-12,chris hayes,28579
2016-01,chris hayes,35847
2016-02,chris hayes,26133
2016-03,chris hayes,37781
2016-04,chris hayes,38149
2016-05,chris hayes,47673
2016-06,chris hayes,37383
2016-07,chris hayes,32745
2016-08,chris hayes,32982
2016-09,chris hayes,24712
2016-10,chris hayes,29972
2016-11,chris hayes,35317
2016-12,chris hayes,38792
2017-01,chris hayes,26865
2017-02,chris hayes,29115
2017-03,chris hayes,44665
2017-04,chris hayes,34813
2017-05,chris hayes,39999
2017-06,chris hayes,39059
2017-07,chris hayes,31771
2017-08,chris hayes,26923
2017-09,chris hayes,36535
2017-10,chris hayes,29424
2017-11,chris hayes,39155
2017-12,chris hayes,38479
2018-01,chris hayes,19713
2018-02,chris hayes,36201
2018-03,chris hayes,37549
2018-04,chris hayes,30444
2018-05,chris hayes,36442
2018-06,chris hayes,39840
2018-07,chris hayes,31480
2018-08,chris hayes,28091
2018-09,chris hayes,33910
2018-10,chris hayes,33980
2018-11,chris hayes,34767
2018-12,chris hayes,32953
2019-01,chris hayes,45569
2019-02,chris hayes,32838
2019-03,chris hayes,40316
2019-04,chris hayes,28948
2019-05,chris hayes,43071
2019-06,chris hayes,30299
2019-07,chris hayes,32211
2019-08,chris hayes,29195
2019-09,chris hayes,29011
2019-10,chris hayes,41068
2019-11,chris hayes,37533
2019-12,chris hayes,36135
2020-01,chris hayes,31540
2020-02,chris hayes,25012
2020-03,chris hayes,40579
2020-04,chris hayes,44649
2020-05,chris hayes,37052
2020-06,chris hayes,31686
2020-07,chris hayes,29071
2010-01,chris jansing,6625
2010-02,chris jansing,3948
2010-03,chris jansing,3
2010-04,chris jansing,48
2010-05,chris jansing,0
2010-06,chris jansing,9338
2010-07,chris jansing,13131
2010-08,chris jansing,13713
2010-09,chris jansing,13430
2010-10,chris jansing,19884
2010-11,chris jansing,15614
2010-12,chris jansing,12134
2011-01,chris jansing,16784
2011-02,chris jansing,9161
2011-03,chris jansing,9859
2011-04,chris jansing,7496
2011-05,chris jansing,5575
2011-06,chris jansing,7913
2011-07,chris jansing,8639
2011-08,chris jansing,14483
2011-09,chris jansing,6033
2011-10,chris jansing,6894
2011-11,chris jansing,5342
2011-12,chris jansing,7585
2012-01,chris jansing,9152
2012-02,chris jansing,8334
2012-03,chris jansing,8894
2012-04,chris jansing,7168
2012-05,chris jansing,8403
2012-06,chris jansing,10298
2012-07,chris jansing,11543
2012-08,chris jansing,4890
2012-09,chris jansing,10632
2012-10,chris jansing,12955
2012-11,chris jansing,7939
2012-12,chris jansing,16614
2013-01,chris jansing,9820
2013-02,chris jansing,8521
2013-03,chris jansing,10164
2013-04,chris jansing,12088
2013-05,chris jansing,9702
2013-06,chris jansing,6175
2013-07,chris jansing,8982
2013-08,chris jansing,7358
2013-09,chris jansing,6792
2013-10,chris jansing,5496
2013-11,chris jansing,7346
2013-12,chris jansing,5525
2014-01,chris jansing,8114
2014-02,chris jansing,2423
2014-03,chris jansing,10543
2014-04,chris jansing,7476
2014-05,chris jansing,7543
2014-06,chris jansing,3512
2014-07,chris jansing,2634
2014-08,chris jansing,5022
2014-09,chris jansing,7807
2014-10,chris jansing,3189
2014-11,chris jansing,4314
2014-12,chris jansing,4632
2015-01,chris jansing,2831
2015-02,chris jansing,4020
2015-03,chris jansing,3061
2015-04,chris jansing,3849
2015-05,chris jansing,1921
2015-06,chris jansing,2800
2015-07,chris jansing,6480
2015-08,chris jansing,4709
2015-09,chris jansing,4317
2015-10,chris jansing,4320
2015-11,chris jansing,19657
2015-12,chris jansing,9364
2016-01,chris jansing,5321
2016-02,chris jansing,16747
2016-03,chris jansing,18456
2016-04,chris jansing,7651
2016-05,chris jansing,9891
2016-06,chris jansing,8359
2016-07,chris jansing,14980
2016-08,chris jansing,9083
2016-09,chris jansing,4018
2016-10,chris jansing,4020
2016-11,chris jansing,6915
2016-12,chris jansing,11529
2017-01,chris jansing,6038
2017-02,chris jansing,3311
2017-03,chris jansing,17774
2017-04,chris jansing,12562
2017-05,chris jansing,12707
2017-06,chris jansing,6222
2017-07,chris jansing,13559
2017-08,chris jansing,8454
2017-09,chris jansing,4962
2017-10,chris jansing,11606
2017-11,chris jansing,7312
2017-12,chris jansing,8512
2018-01,chris jansing,11069
2018-02,chris jansing,2828
2018-03,chris jansing,9521
2018-04,chris jansing,4696
2018-05,chris jansing,6477
2018-06,chris jansing,6110
2018-07,chris jansing,9929
2018-08,chris jansing,10516
2018-09,chris jansing,4980
2018-10,chris jansing,5594
2018-11,chris jansing,6953
2018-12,chris jansing,7115
2019-01,chris jansing,9303
2019-02,chris jansing,3226
2019-03,chris jansing,6596
2019-04,chris jansing,6263
2019-05,chris jansing,8472
2019-06,chris jansing,6928
2019-07,chris jansing,9054
2019-08,chris jansing,16626
2019-09,chris jansing,10406
2019-10,chris jansing,7664
2019-11,chris jansing,9651
2019-12,chris jansing,5621
2020-01,chris jansing,4312
2020-02,chris jansing,12582
2020-03,chris jansing,11270
2020-04,chris jansing,3639
2020-05,chris jansing,8563
2020-06,chris jansing,6119
2020-07,chris jansing,9468
2010-01,chris matthews,50883
2010-02,chris matthews,31482
2010-03,chris matthews,41527
2010-04,chris matthews,59068
2010-05,chris matthews,24899
2010-06,chris matthews,36892
2010-07,chris matthews,42787
2010-08,chris matthews,34801
2010-09,chris matthews,57625
2010-10,chris matthews,56542
2010-11,chris matthews,41492
2010-12,chris matthews,47552
2011-01,chris matthews,59192
2011-02,chris matthews,55981
2011-03,chris matthews,44118
2011-04,chris matthews,57377
2011-05,chris matthews,45071
2011-06,chris matthews,50747
2011-07,chris matthews,42475
2011-08,chris matthews,41995
2011-09,chris matthews,48089
2011-10,chris matthews,56596
2011-11,chris matthews,55914
2011-12,chris matthews,46183
2012-01,chris matthews,71594
2012-02,chris matthews,60127
2012-03,chris matthews,62489
2012-04,chris matthews,36635
2012-05,chris matthews,56369
2012-06,chris matthews,46717
2012-07,chris matthews,30904
2012-08,chris matthews,60181
2012-09,chris matthews,59038
2012-10,chris matthews,64902
2012-11,chris matthews,61609
2012-12,chris matthews,47700
2013-01,chris matthews,51422
2013-02,chris matthews,59430
2013-03,chris matthews,54790
2013-04,chris matthews,50858
2013-05,chris matthews,56099
2013-06,chris matthews,49343
2013-07,chris matthews,39063
2013-08,chris matthews,41517
2013-09,chris matthews,40542
2013-10,chris matthews,51870
2013-11,chris matthews,40632
2013-12,chris matthews,34857
2014-01,chris matthews,38578
2014-02,chris matthews,37719
2014-03,chris matthews,35414
2014-04,chris matthews,24329
2014-05,chris matthews,39399
2014-06,chris matthews,30340
2014-07,chris matthews,26678
2014-08,chris matthews,25514
2014-09,chris matthews,30622
2014-10,chris matthews,33308
2014-11,chris matthews,22804
2014-12,chris matthews,22222
2015-01,chris matthews,26850
2015-02,chris matthews,26188
2015-03,chris matthews,21263
2015-04,chris matthews,26264
2015-05,chris matthews,24162
2015-06,chris matthews,22800
2015-07,chris matthews,26742
2015-08,chris matthews,22905
2015-09,chris matthews,20984
2015-10,chris matthews,34586
2015-11,chris matthews,22749
2015-12,chris matthews,27798
2016-01,chris matthews,39588
2016-02,chris matthews,46264
2016-03,chris matthews,42192
2016-04,chris matthews,36187
2016-05,chris matthews,33215
2016-06,chris matthews,23718
2016-07,chris matthews,34505
2016-08,chris matthews,29346
2016-09,chris matthews,26781
2016-10,chris matthews,32853
2016-11,chris matthews,34642
2016-12,chris matthews,18388
2017-01,chris matthews,28802
2017-02,chris matthews,26559
2017-03,chris matthews,34673
2017-04,chris matthews,20293
2017-05,chris matthews,18741
2017-06,chris matthews,19586
2017-07,chris matthews,16564
2017-08,chris matthews,11182
2017-09,chris matthews,15506
2017-10,chris matthews,18747
2017-11,chris matthews,20854
2017-12,chris matthews,19623
2018-01,chris matthews,27967
2018-02,chris matthews,21904
2018-03,chris matthews,23545
2018-04,chris matthews,20656
2018-05,chris matthews,25547
2018-06,chris matthews,23464
2018-07,chris matthews,16169
2018-08,chris matthews,12389
2018-09,chris matthews,19717
2018-10,chris matthews,23765
2018-11,chris matthews,19392
2018-12,chris matthews,19387
2019-01,chris matthews,18570
2019-02,chris matthews,13402
2019-03,chris matthews,22846
2019-04,chris matthews,31937
2019-05,chris matthews,24724
2019-06,chris matthews,24775
2019-07,chris matthews,20888
2019-08,chris matthews,21578
2019-09,chris matthews,18925
2019-10,chris matthews,14212
2019-11,chris matthews,24216
2019-12,chris matthews,19053
2020-01,chris matthews,23884
2020-02,chris matthews,23423
2020-03,chris matthews,2331
2020-04,chris matthews,1585
2020-05,chris matthews,3237
2020-06,chris matthews,967
2020-07,chris matthews,788
2010-01,chris wallace,10510
2010-02,chris wallace,8796
2010-03,chris wallace,9918
2010-04,chris wallace,16236
2010-05,chris wallace,4907
2010-06,chris wallace,7423
2010-07,chris wallace,10363
2010-08,chris wallace,11945
2010-09,chris wallace,12875
2010-10,chris wallace,11309
2010-11,chris wallace,9953
2010-12,chris wallace,11132
2011-01,chris wallace,13666
2011-02,chris wallace,7984
2011-03,chris wallace,10230
2011-04,chris wallace,12036
2011-05,chris wallace,14523
2011-06,chris wallace,15094
2011-07,chris wallace,6837
2011-08,chris wallace,11948
2011-09,chris wallace,14573
2011-10,chris wallace,17157
2011-11,chris wallace,11921
2011-12,chris wallace,12099
2012-01,chris wallace,20324
2012-02,chris wallace,13755
2012-03,chris wallace,13377
2012-04,chris wallace,11351
2012-05,chris wallace,8143
2012-06,chris wallace,11907
2012-07,chris wallace,9663
2012-08,chris wallace,9846
2012-09,chris wallace,19532
2012-10,chris wallace,15809
2012-11,chris wallace,12826
2012-12,chris wallace,10770
2013-01,chris wallace,6559
2013-02,chris wallace,11485
2013-03,chris wallace,17864
2013-04,chris wallace,12827
2013-05,chris wallace,12172
2013-06,chris wallace,12439
2013-07,chris wallace,8105
2013-08,chris wallace,8886
2013-09,chris wallace,12682
2013-10,chris wallace,12604
2013-11,chris wallace,12269
2013-12,chris wallace,13206
2014-01,chris wallace,9592
2014-02,chris wallace,10966
2014-03,chris wallace,14545
2014-04,chris wallace,9416
2014-05,chris wallace,12421
2014-06,chris wallace,17752
2014-07,chris wallace,7461
2014-08,chris wallace,11525
2014-09,chris wallace,9372
2014-10,chris wallace,9867
2014-11,chris wallace,14207
2014-12,chris wallace,11046
2015-01,chris wallace,7237
2015-02,chris wallace,8743
2015-03,chris wallace,13079
2015-04,chris wallace,11351
2015-05,chris wallace,15669
2015-06,chris wallace,14368
2015-07,chris wallace,4869
2015-08,chris wallace,14956
2015-09,chris wallace,9415
2015-10,chris wallace,15031
2015-11,chris wallace,11062
2015-12,chris wallace,7934
2016-01,chris wallace,12704
2016-02,chris wallace,15181
2016-03,chris wallace,12279
2016-04,chris wallace,14488
2016-05,chris wallace,12480
2016-06,chris wallace,11323
2016-07,chris wallace,7323
2016-08,chris wallace,12362
2016-09,chris wallace,11713
2016-10,chris wallace,19080
2016-11,chris wallace,14697
2016-12,chris wallace,15356
2017-01,chris wallace,13409
2017-02,chris wallace,18620
2017-03,chris wallace,14716
2017-04,chris wallace,16089
2017-05,chris wallace,14566
2017-06,chris wallace,8844
2017-07,chris wallace,15699
2017-08,chris wallace,10995
2017-09,chris wallace,9581
2017-10,chris wallace,7842
2017-11,chris wallace,8922
2017-12,chris wallace,10421
2018-01,chris wallace,15205
2018-02,chris wallace,14162
2018-03,chris wallace,9350
2018-04,chris wallace,13463
2018-05,chris wallace,7513
2018-06,chris wallace,13565
2018-07,chris wallace,11391
2018-08,chris wallace,6772
2018-09,chris wallace,15266
2018-10,chris wallace,13848
2018-11,chris wallace,16176
2018-12,chris wallace,12575
2019-01,chris wallace,8949
2019-02,chris wallace,15975
2019-03,chris wallace,13509
2019-04,chris wallace,11311
2019-05,chris wallace,13759
2019-06,chris wallace,10944
2019-07,chris wallace,11475
2019-08,chris wallace,5800
2019-09,chris wallace,11457
2019-10,chris wallace,14643
2019-11,chris wallace,18675
2019-12,chris wallace,17105
2020-01,chris wallace,14718
2020-02,chris wallace,12459
2020-03,chris wallace,11258
2020-04,chris wallace,10561
2020-05,chris wallace,13958
2020-06,chris wallace,19480
2020-07,chris wallace,13880
2010-01,christine romans,9711
2010-02,christine romans,7327
2010-03,christine romans,14276
2010-04,christine romans,13251
2010-05,christine romans,7849
2010-06,christine romans,8427
2010-07,christine romans,8180
2010-08,christine romans,192
2010-09,christine romans,1074
2010-10,christine romans,19753
2010-11,christine romans,16973
2010-12,christine romans,14025
2011-01,christine romans,15735
2011-02,christine romans,14290
2011-03,christine romans,11822
2011-04,christine romans,9412
2011-05,christine romans,12888
2011-06,christine romans,15825
2011-07,christine romans,11970
2011-08,christine romans,18568
2011-09,christine romans,24753
2011-10,christine romans,20349
2011-11,christine romans,25810
2011-12,christine romans,19299
2012-01,christine romans,9688
2012-02,christine romans,11538
2012-03,christine romans,16293
2012-04,christine romans,10671
2012-05,christine romans,15490
2012-06,christine romans,12358
2012-07,christine romans,9177
2012-08,christine romans,5647
2012-09,christine romans,9773
2012-10,christine romans,8595
2012-11,christine romans,10740
2012-12,christine romans,10710
2013-01,christine romans,13576
2013-02,christine romans,8827
2013-03,christine romans,6568
2013-04,christine romans,15735
2013-05,christine romans,18116
2013-06,christine romans,18890
2013-07,christine romans,8933
2013-08,christine romans,8957
2013-09,christine romans,5847
2013-10,christine romans,11861
2013-11,christine romans,8903
2013-12,christine romans,7946
2014-01,christine romans,14224
2014-02,christine romans,12479
2014-03,christine romans,7984
2014-04,christine romans,8323
2014-05,christine romans,11404
2014-06,christine romans,7516
2014-07,christine romans,4438
2014-08,christine romans,6058
2014-09,christine romans,8880
2014-10,christine romans,9429
2014-11,christine romans,8498
2014-12,christine romans,14473
2015-01,christine romans,8717
2015-02,christine romans,8121
2015-03,christine romans,9781
2015-04,christine romans,7038
2015-05,christine romans,3546
2015-06,christine romans,4029
2015-07,christine romans,5032
2015-08,christine romans,7258
2015-09,christine romans,7899
2015-10,christine romans,7379
2015-11,christine romans,2983
2015-12,christine romans,5939
2016-01,christine romans,6198
2016-02,christine romans,4971
2016-03,christine romans,5344
2016-04,christine romans,4286
2016-05,christine romans,3996
2016-06,christine romans,5245
2016-07,christine romans,3190
2016-08,christine romans,6962
2016-09,christine romans,6908
2016-10,christine romans,5232
2016-11,christine romans,5775
2016-12,christine romans,2988
2017-01,christine romans,5632
2017-02,christine romans,2171
2017-03,christine romans,6353
2017-04,christine romans,2560
2017-05,christine romans,2586
2017-06,christine romans,1350
2017-07,christine romans,3350
2017-08,christine romans,6917
2017-09,christine romans,6448
2017-10,christine romans,6154
2017-11,christine romans,6865
2017-12,christine romans,5956
2018-01,christine romans,18699
2018-02,christine romans,10817
2018-03,christine romans,10104
2018-04,christine romans,4902
2018-05,christine romans,7225
2018-06,christine romans,7311
2018-07,christine romans,6893
2018-08,christine romans,7228
2018-09,christine romans,8126
2018-10,christine romans,10356
2018-11,christine romans,6370
2018-12,christine romans,6589
2019-01,christine romans,11308
2019-02,christine romans,11222
2019-03,christine romans,6511
2019-04,christine romans,10918
2019-05,christine romans,13115
2019-06,christine romans,10867
2019-07,christine romans,5861
2019-08,christine romans,3971
2019-09,christine romans,8489
2019-10,christine romans,9404
2019-11,christine romans,6165
2019-12,christine romans,7401
2020-01,christine romans,9044
2020-02,christine romans,8908
2020-03,christine romans,11812
2020-04,christine romans,8730
2020-05,christine romans,9861
2020-06,christine romans,5457
2020-07,christine romans,4596
2010-01,chuck todd,28337
2010-02,chuck todd,18862
2010-03,chuck todd,25239
2010-04,chuck todd,21865
2010-05,chuck todd,7885
2010-06,chuck todd,12476
2010-07,chuck todd,28971
2010-08,chuck todd,32910
2010-09,chuck todd,20519
2010-10,chuck todd,26065
2010-11,chuck todd,13772
2010-12,chuck todd,12383
2011-01,chuck todd,21578
2011-02,chuck todd,13567
2011-03,chuck todd,24826
2011-04,chuck todd,14763
2011-05,chuck todd,14340
2011-06,chuck todd,14919
2011-07,chuck todd,25286
2011-08,chuck todd,22619
2011-09,chuck todd,19702
2011-10,chuck todd,15515
2011-11,chuck todd,10056
2011-12,chuck todd,19518
2012-01,chuck todd,26876
2012-02,chuck todd,18615
2012-03,chuck todd,23715
2012-04,chuck todd,15089
2012-05,chuck todd,21455
2012-06,chuck todd,16525
2012-07,chuck todd,12106
2012-08,chuck todd,19115
2012-09,chuck todd,21242
2012-10,chuck todd,28866
2012-11,chuck todd,20897
2012-12,chuck todd,19846
2013-01,chuck todd,15228
2013-02,chuck todd,15254
2013-03,chuck todd,11291
2013-04,chuck todd,20939
2013-05,chuck todd,13221
2013-06,chuck todd,15243
2013-07,chuck todd,11766
2013-08,chuck todd,16056
2013-09,chuck todd,18952
2013-10,chuck todd,21643
2013-11,chuck todd,16321
2013-12,chuck todd,14872
2014-01,chuck todd,18776
2014-02,chuck todd,14852
2014-03,chuck todd,19406
2014-04,chuck todd,13543
2014-05,chuck todd,21512
2014-06,chuck todd,19425
2014-07,chuck todd,14761
2014-08,chuck todd,10667
2014-09,chuck todd,13700
2014-10,chuck todd,15372
2014-11,chuck todd,11180
2014-12,chuck todd,9899
2015-01,chuck todd,11053
2015-02,chuck todd,8947
2015-03,chuck todd,11444
2015-04,chuck todd,11276
2015-05,chuck todd,7821
2015-06,chuck todd,9291
2015-07,chuck todd,14334
2015-08,chuck todd,17034
2015-09,chuck todd,16531
2015-10,chuck todd,22855
2015-11,chuck todd,19626
2015-12,chuck todd,20690
2016-01,chuck todd,32009
2016-02,chuck todd,34332
2016-03,chuck todd,30062
2016-04,chuck todd,27696
2016-05,chuck todd,23218
2016-06,chuck todd,20391
2016-07,chuck todd,21939
2016-08,chuck todd,15485
2016-09,chuck todd,24257
2016-10,chuck todd,19236
2016-11,chuck todd,15835
2016-12,chuck todd,16812
2017-01,chuck todd,19321
2017-02,chuck todd,18212
2017-03,chuck todd,18780
2017-04,chuck todd,19565
2017-05,chuck todd,15929
2017-06,chuck todd,20817
2017-07,chuck todd,15270
2017-08,chuck todd,18022
2017-09,chuck todd,16157
2017-10,chuck todd,15915
2017-11,chuck todd,12127
2017-12,chuck todd,13899
2018-01,chuck todd,20990
2018-02,chuck todd,15000
2018-03,chuck todd,15578
2018-04,chuck todd,13770
2018-05,chuck todd,16732
2018-06,chuck todd,9907
2018-07,chuck todd,11666
2018-08,chuck todd,18841
2018-09,chuck todd,14283
2018-10,chuck todd,16477
2018-11,chuck todd,16576
2018-12,chuck todd,15461
2019-01,chuck todd,17208
2019-02,chuck todd,15813
2019-03,chuck todd,16002
2019-04,chuck todd,12321
2019-05,chuck todd,19337
2019-06,chuck todd,15169
2019-07,chuck todd,10266
2019-08,chuck todd,15095
2019-09,chuck todd,15643
2019-10,chuck todd,20378
2019-11,chuck todd,13632
2019-12,chuck todd,15708
2020-01,chuck todd,13119
2020-02,chuck todd,18081
2020-03,chuck todd,16410
2020-04,chuck todd,34935
2020-05,chuck todd,42807
2020-06,chuck todd,33204
2020-07,chuck todd,23541
2010-01,dana bash,5800
2010-02,dana bash,5124
2010-03,dana bash,16467
2010-04,dana bash,5373
2010-05,dana bash,2067
2010-06,dana bash,5760
2010-07,dana bash,408
2010-08,dana bash,264
2010-09,dana bash,8439
2010-10,dana bash,9213
2010-11,dana bash,9676
2010-12,dana bash,13397
2011-01,dana bash,8729
2011-02,dana bash,2559
2011-03,dana bash,4047
2011-04,dana bash,15460
2011-05,dana bash,6371
2011-06,dana bash,11427
2011-07,dana bash,27
2011-08,dana bash,33
2011-09,dana bash,27
2011-10,dana bash,21
2011-11,dana bash,81
2011-12,dana bash,6123
2012-01,dana bash,11079
2012-02,dana bash,4365
2012-03,dana bash,3891
2012-04,dana bash,7438
2012-05,dana bash,3603
2012-06,dana bash,4236
2012-07,dana bash,9100
2012-08,dana bash,9777
2012-09,dana bash,8616
2012-10,dana bash,10191
2012-11,dana bash,12926
2012-12,dana bash,24191
2013-01,dana bash,13872
2013-02,dana bash,4749
2013-03,dana bash,5876
2013-04,dana bash,7063
2013-05,dana bash,11520
2013-06,dana bash,10122
2013-07,dana bash,4313
2013-08,dana bash,7792
2013-09,dana bash,26280
2013-10,dana bash,31690
2013-11,dana bash,11881
2013-12,dana bash,9550
2014-01,dana bash,9823
2014-02,dana bash,5427
2014-03,dana bash,1912
2014-04,dana bash,2554
2014-05,dana bash,8599
2014-06,dana bash,15452
2014-07,dana bash,5007
2014-08,dana bash,2204
2014-09,dana bash,5080
2014-10,dana bash,1725
2014-11,dana bash,10027
2014-12,dana bash,6516
2015-01,dana bash,6289
2015-02,dana bash,9156
2015-03,dana bash,8981
2015-04,dana bash,6122
2015-05,dana bash,4951
2015-06,dana bash,7611
2015-07,dana bash,11181
2015-08,dana bash,8664
2015-09,dana bash,12988
2015-10,dana bash,12876
2015-11,dana bash,6167
2015-12,dana bash,11843
2016-01,dana bash,14613
2016-02,dana bash,19925
2016-03,dana bash,19583
2016-04,dana bash,14983
2016-05,dana bash,21256
2016-06,dana bash,16169
2016-07,dana bash,13533
2016-08,dana bash,19559
2016-09,dana bash,14877
2016-10,dana bash,22409
2016-11,dana bash,18365
2016-12,dana bash,13054
2017-01,dana bash,17363
2017-02,dana bash,12316
2017-03,dana bash,17536
2017-04,dana bash,12813
2017-05,dana bash,21257
2017-06,dana bash,18466
2017-07,dana bash,17527
2017-08,dana bash,7134
2017-09,dana bash,11385
2017-10,dana bash,14302
