Name_EN,code,pci
An Giang,VN-89,66.44
Ba Ria - Vung Tau,VN-77,66.96
Bac Giang,VN-24,64.47
Bac Kan,VN-6,62.8
Bac Lieu,VN-95,63.78
Bac Ninh,VN-27,70.79
Ben Tre,VN-83,69.34
Binh Dinh,VN-52,66.56
Binh Duong,VN-74,67.38
Binh Phuoc,VN-70,62.21
Binh Thuan,VN-60,65.33
Ca Mau,VN-96,64.1
Can Tho,VN-92,68.38
Cao Bang,VN-4,63.69
Da Nang,VN-48,70.15
Dak Lak,VN-66,64.81
Dak Nong,VN-67,60.5
Dien Bien,VN-11,64.11
Dong Nai,VN-75,65.82
Dong Thap,VN-87,72.1
Gia Lai,VN-64,65.34
Ha Giang,VN-2,62.62
Ha Nam,VN-35,65.07
Ha Noi,VN-1,68.8
Ha Tinh,VN-42,65.46
Hai Duong,VN-30,63.85
Hai Phong,VN-31,68.73
Hau Giang,VN-93,64.14
Hoa Binh,VN-17,63.84
Hung Yen,VN-33,63.6
Khanh Hoa,VN-56,65.37
Kien Giang,VN-91,64.99
Kon Tum,VN-62,63.54
Lai Chau,VN-12,59.95
Lam Dong,VN-68,66.23
Lang Son,VN-20,63.79
Lao Cai,VN-10,65.56
Long An,VN-80,68.82
Nam Dinh,VN-36,65.09
Nghe An,VN-40,66.64
Ninh Binh,VN-37,64.58
Ninh Thuan,VN-58,64.89
Phu Tho,VN-25,65.54
Phu Yen,VN-54,64.14
Quang Binh,VN-44,63.71
Quang Nam,VN-49,69.42
Quang Ngai,VN-51,64.33
Quang Ninh,VN-22,73.4
Quang Tri,VN-45,63.84
Soc Trang,VN-94,63.7
Son La,VN-14,63.38
TP. Ho Chi Minh,VN-79,67.16
Thua Thien - Hue,VN-46,66.5
Tay Ninh,VN-72,67.05
Thai Binh,VN-34,65.38
Thai Nguyen,VN-19,67.71
Thanh Hoa,VN-38,65.64
Tien Giang,VN-82,63.91
Tra Vinh,VN-84,63.2
Tuyen Quang,VN-8,65.13
Vinh Long,VN-86,71.3
Vinh Phuc,VN-26,66.75
Yen Bai,VN-15,64.98
