Name_EN,code,pci
An Giang,VN-89,62.16
Ba Ria - Vung Tau,VN-77,64.43
Bac Giang,VN-24,62.2
Bac Kan,VN-6,58.82
Bac Lieu,VN-95,61.09
Bac Ninh,VN-27,64.36
Ben Tre,VN-83,66.69
Binh Dinh,VN-52,64.08
Binh Duong,VN-74,64.47
Binh Phuoc,VN-70,56.7
Binh Thuan,VN-60,63.34
Ca Mau,VN-96,59.83
Can Tho,VN-92,65.09
Cao Bang,VN-4,58.89
Da Nang,VN-48,70.11
Dak Lak,VN-66,62.19
Dak Nong,VN-67,55.12
Dien Bien,VN-11,60.57
Dong Nai,VN-75,63.15
Dong Thap,VN-87,68.78
Gia Lai,VN-64,60.91
Ha Giang,VN-2,59.16
Ha Nam,VN-35,61.97
Ha Noi,VN-1,64.71
Ha Tinh,VN-42,61.99
Hai Duong,VN-30,60.36
Hai Phong,VN-31,65.15
Hau Giang,VN-93,60.14
Hoa Binh,VN-17,59.42
Hung Yen,VN-33,59.09
Khanh Hoa,VN-56,63.36
Kien Giang,VN-91,63.65
Kon Tum,VN-62,58.53
Lai Chau,VN-12,58.82
Lam Dong,VN-68,63.5
Lang Son,VN-20,59.27
Lao Cai,VN-10,64.98
Long An,VN-80,66.7
Nam Dinh,VN-36,61.43
Nghe An,VN-40,63.52
Ninh Binh,VN-37,61.86
Ninh Thuan,VN-58,61.6
Phu Tho,VN-25,62.55
Phu Yen,VN-54,60.59
Quang Binh,VN-44,60.82
Quang Nam,VN-49,65.41
Quang Ngai,VN-51,63.16
Quang Ninh,VN-22,70.69
Quang Tri,VN-45,59.25
Soc Trang,VN-94,60.84
Son La,VN-14,58.9
TP. Ho Chi Minh,VN-79,65.19
Thua Thien - Hue,VN-46,62.37
Tay Ninh,VN-72,63.82
Thai Binh,VN-34,61.97
Thai Nguyen,VN-19,64.45
Thanh Hoa,VN-38,62.46
Tien Giang,VN-82,61.44
Tra Vinh,VN-84,61.71
Tuyen Quang,VN-8,61.51
Vinh Long,VN-86,66.07
Vinh Phuc,VN-26,64.9
Yen Bai,VN-15,60.72
